Original Url,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://www.californiapsychics.com/blog/psychic-tools-abilities/can-a-psychic-help-you-plan-a-wedding.html,https://www.californiapsychics.com/blog/psychic-tools-abilities/can-a-psychic-help-you-plan-a-wedding.html,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,1.345,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/psychic-tools-abilities/can-a-psychic-help-you-plan-a-wedding.html,2025-07-21 15:30:30
https://www.californiapsychics.com/blog/destiny-life-path/psychic-paiges-career-advice-helped-two-callers.html,https://www.californiapsychics.com/blog/destiny-life-path/psychic-paiges-career-advice-helped-two-callers.html,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,1,1,0,0.04,0,0,0,0,0,0,,,,,,1.254,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/destiny-life-path/psychic-paiges-career-advice-helped-two-callers.html,2025-07-21 15:32:34
https://www.californiapsychics.com/blog/lp/mediums,https://www.californiapsychics.com/blog/lp/mediums,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,267,267,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.115,,https://www.californiapsychics.com/psychics/psychic-mediums,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/mediums,2025-07-21 15:32:11
https://www.californiapsychics.com/blog/lp/will-my-ex-come-back,https://www.californiapsychics.com/blog/lp/will-my-ex-come-back,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,296,296,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.108,,https://www.californiapsychics.com/blog/psychic-questions/psychic-qa-will-come-back.html,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/will-my-ex-come-back,2025-07-21 15:32:54
https://www.californiapsychics.com/blog/articles/how-can-a-psychic-help-you,https://www.californiapsychics.com/blog/articles/how-can-a-psychic-help-you,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,1,1,0,0.04,0,0,0,0,0,0,,,,,,0.957,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/articles/how-can-a-psychic-help-you,2025-07-21 15:26:52
https://www.californiapsychics.com/blog/psychic-tools-abilities/embracing-opportunities-help-tarot.html,https://www.californiapsychics.com/blog/psychic-tools-abilities/embracing-opportunities-help-tarot.html,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,3,3,0,0.12,0,0,0,0,0,0,,,,,,1.272,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/psychic-tools-abilities/embracing-opportunities-help-tarot.html,2025-07-21 15:27:09
https://www.californiapsychics.com/blog/love-relationships/18-useful-break-up-lines.html,https://www.californiapsychics.com/blog/love-relationships/18-useful-break-up-lines.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,248,248,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.121,,https://www.californiapsychics.com/blog/,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/love-relationships/18-useful-break-up-lines.html,2025-07-21 15:28:17
https://www.californiapsychics.com/blog/lp/psychic-reading-online-free,https://www.californiapsychics.com/blog/lp/psychic-reading-online-free,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.121,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/psychic-reading-online-free,2025-07-21 15:33:22
https://www.californiapsychics.com/blog/lp/clairvoyants,https://www.californiapsychics.com/blog/lp/clairvoyants,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,272,272,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.122,,https://www.californiapsychics.com/psychics/clairvoyant-psychics,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/clairvoyants,2025-07-21 15:31:37
https://www.californiapsychics.com/blog/lp/psychic,https://www.californiapsychics.com/blog/lp/psychic,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.123,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/psychic,2025-07-21 15:29:30
https://www.californiapsychics.com/blog/lp/psychics,https://www.californiapsychics.com/blog/lp/psychics,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0,,,,,0,0,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.151,,https://www.californiapsychics.com/psychic-readings,HTTP Redirect,,1.1,https://www.californiapsychics.com/blog/lp/psychics,2025-07-21 15:25:40